% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
100.00  899.209897   449604948         2 _ZNSt6thread4joinEv
  0.00    0.002877         239        12 _Znwm
  0.00    0.002140        1070         2 _ZNSt6thread15_M_start_threadESt10unique_ptrINS_6_StateESt14default_deleteIS1_EEPFvvE
  0.00    0.001288         117        11 _ZdlPvm
  0.00    0.000854         170         5 memcpy
  0.00    0.000755         251         3 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE10_M_disposeEv
  0.00    0.000709         177         4 strlen
  0.00    0.000350         175         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm
  0.00    0.000334         167         2 __errno_location
  0.00    0.000202         202         1 _ZNSt10filesystem7__cxx114path5_ListC1ERKS2_
  0.00    0.000179         179         1 _ZNSt10filesystem7__cxx114path5_ListC1Ev
  0.00    0.000173         173         1 _ZNSt10filesystem7__cxx114path14_M_split_cmptsEv
  0.00    0.000073          73         1 _ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE
------ ----------- ----------- --------- --------------------
100.00  899.219831                    47 total
