% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 10.64   45.327513          75    602123 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEED1Ev
 10.63   45.289827          75    602121 _ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE
  8.75   37.273546         107    345595 _ZNSt10filesystem7__cxx1128recursive_directory_iteratorppEv
  6.14   26.162137          75    345595 _ZNKSt10filesystem7__cxx1128recursive_directory_iteratordeEv
  5.34   22.766754          75    301061 _ZNSt10filesystem7__cxx114path14_M_split_cmptsEv
  5.34   22.741097          75    301060 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC1ERKS4_
  5.33   22.718020          75    301060 _ZNKSt10filesystem7__cxx114path7compareERKS1_
  5.32   22.668349          75    301061 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC1ENS4_12__sv_wrapperERKS3_
  5.32   22.661656          75    301060 _ZNKSt10filesystem7__cxx114path5_List3endEv
  5.31   22.648561          75    301060 _ZNSt10filesystem7__cxx114path5_ListC1ERKS2_
  5.31   22.646455          75    301060 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE5emptyEv
  5.31   22.641413          75    301061 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE17_S_to_string_viewESt17basic_string_viewIcS2_E
  5.31   22.640013          75    301060 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEcvSt17basic_string_viewIcS2_EEv
  5.31   22.639877          75    301061 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12__sv_wrapperC1ESt17basic_string_viewIcS2_E
  5.31   22.623936          75    301060 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE4backEv
  5.31   22.619357          75    301061 _ZNSt10filesystem7__cxx114path5_ListC1Ev
  0.02    0.094455         113       835 _ZNSt10filesystem6statusERKNS_7__cxx114pathE
  0.00    0.001897          75        25 _ZNSt10filesystem7__cxx1128recursive_directory_iteratorD1Ev
  0.00    0.001205         241         5 _ZNSt10filesystem7__cxx1128recursive_directory_iteratorC1ERKNS0_4pathENS_17directory_optionsEPSt10error_code
  0.00    0.000431         215         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_M_local_dataEv
  0.00    0.000421         140         3 strlen
  0.00    0.000398          79         5 _ZNSt12__shared_ptrINSt10filesystem7__cxx1128recursive_directory_iterator10_Dir_stackELN9__gnu_cxx12_Lock_policyE2EEC1EOS6_
  0.00    0.000398          79         5 __errno_location
  0.00    0.000367         183         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12_Alloc_hiderC1EPcRKS3_
  0.00    0.000366          73         5 _ZNSt12__shared_ptrINSt10filesystem7__cxx1128recursive_directory_iterator10_Dir_stackELN9__gnu_cxx12_Lock_policyE2EEC1Ev
  0.00    0.000287         143         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_S_copy_charsEPcPKcS7_
  0.00    0.000254         127         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_M_set_lengthEm
  0.00    0.000252         126         2 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE7_M_dataEv
  0.00    0.000093          93         1 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE5c_strEv
------ ----------- ----------- --------- --------------------
100.00  426.169335               5509053 total
