% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
100.00  900.372354   450186177         2 _ZNSt6thread4joinEv
  0.00    0.002300         191        12 _Znwm
  0.00    0.001829         914         2 _ZNSt6thread15_M_start_threadESt10unique_ptrINS_6_StateESt14default_deleteIS1_EEPFvvE
  0.00    0.001369         273         5 memcpy
  0.00    0.001264         114        11 _ZdlPvm
  0.00    0.000835         208         4 strlen
  0.00    0.000639         319         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm
  0.00    0.000445         148         3 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE10_M_disposeEv
  0.00    0.000402         402         1 _ZNSt10filesystem7__cxx114path5_ListC1ERKS2_
  0.00    0.000383         191         2 __errno_location
  0.00    0.000205         205         1 _ZNSt10filesystem7__cxx114path5_ListC1Ev
  0.00    0.000205         205         1 _ZNSt10filesystem7__cxx114path14_M_split_cmptsEv
  0.00    0.000078          78         1 _ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE
------ ----------- ----------- --------- --------------------
100.00  900.382308                    47 total
