% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
100.00  901.876366   450938183         2 _ZNSt6thread4joinEv
  0.00    0.002299         191        12 _Znwm
  0.00    0.001949         974         2 _ZNSt6thread15_M_start_threadESt10unique_ptrINS_6_StateESt14default_deleteIS1_EEPFvvE
  0.00    0.001126         102        11 _ZdlPvm
  0.00    0.000913         182         5 memcpy
  0.00    0.000765         191         4 strlen
  0.00    0.000431         143         3 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE10_M_disposeEv
  0.00    0.000363         181         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm
  0.00    0.000361         180         2 __errno_location
  0.00    0.000190         190         1 _ZNSt10filesystem7__cxx114path5_ListC1Ev
  0.00    0.000185         185         1 _ZNSt10filesystem7__cxx114path5_ListC1ERKS2_
  0.00    0.000183         183         1 _ZNSt10filesystem7__cxx114path14_M_split_cmptsEv
  0.00    0.000063          63         1 _ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE
------ ----------- ----------- --------- --------------------
100.00  901.885194                    47 total
