% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 10.64   45.323626          75    602123 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEED1Ev
 10.64   45.316061          75    602121 _ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE
  8.73   37.213529         107    345595 _ZNSt10filesystem7__cxx1128recursive_directory_iteratorppEv
  6.13   26.111861          75    345595 _ZNKSt10filesystem7__cxx1128recursive_directory_iteratordeEv
  5.34   22.732895          75    301060 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC1ERKS4_
  5.34   22.730705          75    301061 _ZNSt10filesystem7__cxx114path14_M_split_cmptsEv
  5.34   22.730464          75    301060 _ZNKSt10filesystem7__cxx114path7compareERKS1_
  5.32   22.664792          75    301061 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12__sv_wrapperC1ESt17basic_string_viewIcS2_E
  5.32   22.655100          75    301060 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEcvSt17basic_string_viewIcS2_EEv
  5.32   22.646970          75    301061 _ZNSt10filesystem7__cxx114path5_ListC1Ev
  5.31   22.644003          75    301060 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE4backEv
  5.31   22.641663          75    301060 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE5emptyEv
  5.31   22.639587          75    301061 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC1ENS4_12__sv_wrapperERKS3_
  5.31   22.639427          75    301061 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE17_S_to_string_viewESt17basic_string_viewIcS2_E
  5.31   22.631400          75    301060 _ZNKSt10filesystem7__cxx114path5_List3endEv
  5.31   22.621096          75    301060 _ZNSt10filesystem7__cxx114path5_ListC1ERKS2_
  0.02    0.093115         111       835 _ZNSt10filesystem6statusERKNS_7__cxx114pathE
  0.00    0.001862          74        25 _ZNSt10filesystem7__cxx1128recursive_directory_iteratorD1Ev
  0.00    0.001148         229         5 _ZNSt10filesystem7__cxx1128recursive_directory_iteratorC1ERKNS0_4pathENS_17directory_optionsEPSt10error_code
  0.00    0.000405          81         5 __errno_location
  0.00    0.000359          71         5 _ZNSt12__shared_ptrINSt10filesystem7__cxx1128recursive_directory_iterator10_Dir_stackELN9__gnu_cxx12_Lock_policyE2EEC1EOS6_
  0.00    0.000346          69         5 _ZNSt12__shared_ptrINSt10filesystem7__cxx1128recursive_directory_iterator10_Dir_stackELN9__gnu_cxx12_Lock_policyE2EEC1Ev
  0.00    0.000243          81         3 strlen
  0.00    0.000193          96         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_M_local_dataEv
  0.00    0.000161          80         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12_Alloc_hiderC1EPcRKS3_
  0.00    0.000161          80         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_S_copy_charsEPcPKcS7_
  0.00    0.000157          78         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_M_set_lengthEm
  0.00    0.000155          77         2 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE7_M_dataEv
  0.00    0.000082          82         1 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE5c_strEv
------ ----------- ----------- --------- --------------------
100.00  426.041566               5509053 total
