% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
100.00  900.957688   450478844         2 _ZNSt6thread4joinEv
  0.00    0.002265         188        12 _Znwm
  0.00    0.002178        1089         2 _ZNSt6thread15_M_start_threadESt10unique_ptrINS_6_StateESt14default_deleteIS1_EEPFvvE
  0.00    0.001057          96        11 _ZdlPvm
  0.00    0.000875         175         5 memcpy
  0.00    0.000724         181         4 strlen
  0.00    0.000394         131         3 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE10_M_disposeEv
  0.00    0.000362         181         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm
  0.00    0.000323         161         2 __errno_location
  0.00    0.000204         204         1 _ZNSt10filesystem7__cxx114path5_ListC1Ev
  0.00    0.000175         175         1 _ZNSt10filesystem7__cxx114path14_M_split_cmptsEv
  0.00    0.000173         173         1 _ZNSt10filesystem7__cxx114path5_ListC1ERKS2_
  0.00    0.000057          57         1 _ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE
------ ----------- ----------- --------- --------------------
100.00  900.966475                    47 total
