% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
100.00  900.205328   450102664         2 _ZNSt6thread4joinEv
  0.00    0.006471         539        12 _Znwm
  0.00    0.002801        1400         2 _ZNSt6thread15_M_start_threadESt10unique_ptrINS_6_StateESt14default_deleteIS1_EEPFvvE
  0.00    0.001606         146        11 _ZdlPvm
  0.00    0.001238         247         5 memcpy
  0.00    0.000705         176         4 strlen
  0.00    0.000540         270         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm
  0.00    0.000437         145         3 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE10_M_disposeEv
  0.00    0.000347         173         2 __errno_location
  0.00    0.000179         179         1 _ZNSt10filesystem7__cxx114path5_ListC1ERKS2_
  0.00    0.000178         178         1 _ZNSt10filesystem7__cxx114path5_ListC1Ev
  0.00    0.000173         173         1 _ZNSt10filesystem7__cxx114path14_M_split_cmptsEv
  0.00    0.000086          86         1 _ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE
------ ----------- ----------- --------- --------------------
100.00  900.220089                    47 total
