% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
100.00  900.842518   450421259         2 _ZNSt6thread4joinEv
  0.00    0.002687        1343         2 _ZNSt6thread15_M_start_threadESt10unique_ptrINS_6_StateESt14default_deleteIS1_EEPFvvE
  0.00    0.002419         604         4 strlen
  0.00    0.002238         186        12 _Znwm
  0.00    0.001301         260         5 memcpy
  0.00    0.001149         104        11 _ZdlPvm
  0.00    0.000399         133         3 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE10_M_disposeEv
  0.00    0.000372         186         2 __errno_location
  0.00    0.000321         160         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm
  0.00    0.000244         244         1 _ZNSt10filesystem7__cxx114path5_ListC1Ev
  0.00    0.000200         200         1 _ZNSt10filesystem7__cxx114path14_M_split_cmptsEv
  0.00    0.000175         175         1 _ZNSt10filesystem7__cxx114path5_ListC1ERKS2_
  0.00    0.000063          63         1 _ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE
------ ----------- ----------- --------- --------------------
100.00  900.854086                    47 total
