% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
100.00  901.015302   450507651         2 _ZNSt6thread4joinEv
  0.00    0.003927        1963         2 _ZNSt6thread15_M_start_threadESt10unique_ptrINS_6_StateESt14default_deleteIS1_EEPFvvE
  0.00    0.003358         279        12 _Znwm
  0.00    0.002224         444         5 memcpy
  0.00    0.001825         456         4 strlen
  0.00    0.001739         158        11 _ZdlPvm
  0.00    0.000958         479         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm
  0.00    0.000942         314         3 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE10_M_disposeEv
  0.00    0.000345         172         2 __errno_location
  0.00    0.000174         174         1 _ZNSt10filesystem7__cxx114path5_ListC1Ev
  0.00    0.000162         162         1 _ZNSt10filesystem7__cxx114path5_ListC1ERKS2_
  0.00    0.000159         159         1 _ZNSt10filesystem7__cxx114path14_M_split_cmptsEv
  0.00    0.000064          64         1 _ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE
------ ----------- ----------- --------- --------------------
100.00  901.031179                    47 total
