top - 13:19:19 up  2:08,  2 users,  load average: 0,97, 0,95, 1,00
Tasks: 344 total,   2 running, 342 sleeping,   0 stopped,   0 zombie
%Cpu(s):  6,9 us,  0,0 sy,  0,0 ni, 93,1 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :  15337,5 total,    776,4 free,   8593,6 used,   6775,4 buff/cache     
MiB Swap:      0,0 total,      0,0 free,      0,0 used.   6743,9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     90 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     91 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/9
     92 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     93 root      rt   0       0      0      0 S   0,0   0,0   0:00.72 migrati+
     94 root      20   0       0      0      0 S   0,0   0,0   0:00.02 ksoftir+
     96 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     97 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/11
     98 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     99 root      rt   0       0      0      0 S   0,0   0,0   0:00.55 migrati+
    100 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftir+
    101 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
    102 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    103 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/13
    104 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
    105 root      rt   0       0      0      0 S   0,0   0,0   0:00.58 migrati+
    106 root      20   0       0      0      0 S   0,0   0,0   0:00.01 ksoftir+
    108 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    109 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/15
    110 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
    111 root      rt   0       0      0      0 S   0,0   0,0   0:00.65 migrati+
    112 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ksoftir+
    114 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    115 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmp+
    116 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    117 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
    118 root      20   0       0      0      0 S   0,0   0,0   0:00.01 khungta+
    120 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_rea+
    121 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    122 root      20   0       0      0      0 S   0,0   0,0   0:03.64 kcompac+
    123 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
    124 root      39  19       0      0      0 S   0,0   0,0   0:01.07 khugepa+
    125 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    126 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
