% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 10.63   45.555645          75    602121 _ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE
 10.63   45.539471          75    602123 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEED1Ev
  8.73   37.418691         108    345595 _ZNSt10filesystem7__cxx1128recursive_directory_iteratorppEv
  6.15   26.334760          76    345595 _ZNKSt10filesystem7__cxx1128recursive_directory_iteratordeEv
  5.34   22.862180          75    301061 _ZNSt10filesystem7__cxx114path14_M_split_cmptsEv
  5.33   22.846005          75    301060 _ZNKSt10filesystem7__cxx114path7compareERKS1_
  5.33   22.825499          75    301060 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC1ERKS4_
  5.32   22.800336          75    301060 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE5emptyEv
  5.32   22.785105          75    301060 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE4backEv
  5.32   22.778639          75    301061 _ZNSt10filesystem7__cxx114path5_ListC1Ev
  5.32   22.770669          75    301060 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEcvSt17basic_string_viewIcS2_EEv
  5.31   22.767714          75    301060 _ZNSt10filesystem7__cxx114path5_ListC1ERKS2_
  5.31   22.766305          75    301061 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC1ENS4_12__sv_wrapperERKS3_
  5.31   22.750376          75    301061 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE17_S_to_string_viewESt17basic_string_viewIcS2_E
  5.31   22.738656          75    301060 _ZNKSt10filesystem7__cxx114path5_List3endEv
  5.31   22.737626          75    301061 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12__sv_wrapperC1ESt17basic_string_viewIcS2_E
  0.02    0.095040         113       835 _ZNSt10filesystem6statusERKNS_7__cxx114pathE
  0.00    0.003198         639         5 __errno_location
  0.00    0.002021         404         5 _ZNSt10filesystem7__cxx1128recursive_directory_iteratorC1ERKNS0_4pathENS_17directory_optionsEPSt10error_code
  0.00    0.002002          80        25 _ZNSt10filesystem7__cxx1128recursive_directory_iteratorD1Ev
  0.00    0.000670         335         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_M_set_lengthEm
  0.00    0.000487          97         5 _ZNSt12__shared_ptrINSt10filesystem7__cxx1128recursive_directory_iterator10_Dir_stackELN9__gnu_cxx12_Lock_policyE2EEC1EOS6_
  0.00    0.000444          88         5 _ZNSt12__shared_ptrINSt10filesystem7__cxx1128recursive_directory_iterator10_Dir_stackELN9__gnu_cxx12_Lock_policyE2EEC1Ev
  0.00    0.000357         119         3 strlen
  0.00    0.000211         105         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_M_local_dataEv
  0.00    0.000155          77         2 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE7_M_dataEv
  0.00    0.000149          74         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12_Alloc_hiderC1EPcRKS3_
  0.00    0.000141          70         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_S_copy_charsEPcPKcS7_
  0.00    0.000067          67         1 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE5c_strEv
------ ----------- ----------- --------- --------------------
100.00  428.382619               5509053 total
