% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 10.65   45.524201          75    602123 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEED1Ev
 10.63   45.440318          75    602121 _ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE
  8.74   37.352861         108    345595 _ZNSt10filesystem7__cxx1128recursive_directory_iteratorppEv
  6.15   26.276136          76    345595 _ZNKSt10filesystem7__cxx1128recursive_directory_iteratordeEv
  5.34   22.816789          75    301060 _ZNKSt10filesystem7__cxx114path7compareERKS1_
  5.33   22.799983          75    301061 _ZNSt10filesystem7__cxx114path14_M_split_cmptsEv
  5.32   22.765256          75    301060 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC1ERKS4_
  5.32   22.742970          75    301061 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE17_S_to_string_viewESt17basic_string_viewIcS2_E
  5.32   22.739564          75    301060 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE5emptyEv
  5.32   22.734428          75    301060 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE4backEv
  5.32   22.729477          75    301061 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12__sv_wrapperC1ESt17basic_string_viewIcS2_E
  5.32   22.727039          75    301060 _ZNKSt10filesystem7__cxx114path5_List3endEv
  5.31   22.721666          75    301061 _ZNSt10filesystem7__cxx114path5_ListC1Ev
  5.31   22.721252          75    301060 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEcvSt17basic_string_viewIcS2_EEv
  5.31   22.709207          75    301060 _ZNSt10filesystem7__cxx114path5_ListC1ERKS2_
  5.31   22.694441          75    301061 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC1ENS4_12__sv_wrapperERKS3_
  0.02    0.094409         113       835 _ZNSt10filesystem6statusERKNS_7__cxx114pathE
  0.00    0.002209          88        25 _ZNSt10filesystem7__cxx1128recursive_directory_iteratorD1Ev
  0.00    0.001292         258         5 _ZNSt10filesystem7__cxx1128recursive_directory_iteratorC1ERKNS0_4pathENS_17directory_optionsEPSt10error_code
  0.00    0.000401          80         5 _ZNSt12__shared_ptrINSt10filesystem7__cxx1128recursive_directory_iterator10_Dir_stackELN9__gnu_cxx12_Lock_policyE2EEC1Ev
  0.00    0.000397          79         5 _ZNSt12__shared_ptrINSt10filesystem7__cxx1128recursive_directory_iterator10_Dir_stackELN9__gnu_cxx12_Lock_policyE2EEC1EOS6_
  0.00    0.000358          71         5 __errno_location
  0.00    0.000228          76         3 strlen
  0.00    0.000170          85         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_M_local_dataEv
  0.00    0.000148          74         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_S_copy_charsEPcPKcS7_
  0.00    0.000148          74         2 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE7_M_dataEv
  0.00    0.000146          73         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_M_set_lengthEm
  0.00    0.000145          72         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12_Alloc_hiderC1EPcRKS3_
  0.00    0.000072          72         1 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE5c_strEv
------ ----------- ----------- --------- --------------------
100.00  427.595711               5509053 total
