top - 14:05:30 up  2:54,  2 users,  load average: 10,58, 9,92, 6,29
Tasks: 447 total,  16 running, 424 sleeping,   7 stopped,   0 zombie
%Cpu(s): 57,4 us, 41,8 sy,  0,3 ni,  0,3 id,  0,0 wa,  0,3 hi,  0,0 si,  0,0 st 
MiB Mem :  15337,5 total,    453,6 free,   9179,9 used,   6532,0 buff/cache     
MiB Swap:      0,0 total,      0,0 free,      0,0 used.   6157,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     37 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/6
     38 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     39 root      rt   0       0      0      0 S   0,0   0,0   0:02.74 migrati+
     40 root      20   0       0      0      0 S   0,0   0,0   0:00.34 ksoftir+
     42 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     43 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/8
     44 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     45 root      rt   0       0      0      0 S   0,0   0,0   0:02.95 migrati+
     46 root      20   0       0      0      0 S   0,0   0,0   0:00.04 ksoftir+
     48 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     49 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/10
     50 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     51 root      rt   0       0      0      0 S   0,0   0,0   0:05.30 migrati+
     52 root      20   0       0      0      0 S   0,0   0,0   0:00.03 ksoftir+
     54 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     55 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/12
     56 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     57 root      rt   0       0      0      0 S   0,0   0,0   0:02.81 migrati+
     58 root      20   0       0      0      0 S   0,0   0,0   0:00.02 ksoftir+
     60 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     61 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/14
     62 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     63 root      rt   0       0      0      0 S   0,0   0,0   0:03.97 migrati+
     64 root      20   0       0      0      0 S   0,0   0,0   0:00.02 ksoftir+
     66 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     67 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     68 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     69 root      rt   0       0      0      0 S   0,0   0,0   0:00.33 migrati+
     70 root      20   0       0      0      0 S   0,0   0,0   0:00.27 ksoftir+
     72 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     73 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     74 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     75 root      rt   0       0      0      0 S   0,0   0,0   0:00.47 migrati+
     76 root      20   0       0      0      0 S   0,0   0,0   0:00.10 ksoftir+
     78 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     79 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/5
     80 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     81 root      rt   0       0      0      0 S   0,0   0,0   0:00.67 migrati+
     82 root      20   0       0      0      0 S   0,0   0,0   0:00.03 ksoftir+
     84 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     85 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/7
     86 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     87 root      rt   0       0      0      0 S   0,0   0,0   0:01.39 migrati+
     88 root      20   0       0      0      0 S   0,0   0,0   0:00.02 ksoftir+
     90 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
