% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 10.64   45.524070          75    602123 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEED1Ev
 10.63   45.511614          75    602121 _ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE
  8.73   37.374992         108    345595 _ZNSt10filesystem7__cxx1128recursive_directory_iteratorppEv
  6.14   26.283923          76    345595 _ZNKSt10filesystem7__cxx1128recursive_directory_iteratordeEv
  5.34   22.845578          75    301060 _ZNKSt10filesystem7__cxx114path7compareERKS1_
  5.34   22.843306          75    301061 _ZNSt10filesystem7__cxx114path14_M_split_cmptsEv
  5.33   22.831089          75    301060 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC1ERKS4_
  5.32   22.764716          75    301061 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC1ENS4_12__sv_wrapperERKS3_
  5.32   22.753328          75    301060 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE4backEv
  5.32   22.749635          75    301060 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEcvSt17basic_string_viewIcS2_EEv
  5.31   22.747164          75    301060 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE5emptyEv
  5.31   22.734398          75    301060 _ZNKSt10filesystem7__cxx114path5_List3endEv
  5.31   22.733012          75    301061 _ZNSt10filesystem7__cxx114path5_ListC1Ev
  5.31   22.731807          75    301060 _ZNSt10filesystem7__cxx114path5_ListC1ERKS2_
  5.31   22.729888          75    301061 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12__sv_wrapperC1ESt17basic_string_viewIcS2_E
  5.31   22.726765          75    301061 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE17_S_to_string_viewESt17basic_string_viewIcS2_E
  0.02    0.093462         111       835 _ZNSt10filesystem6statusERKNS_7__cxx114pathE
  0.00    0.002021          80        25 _ZNSt10filesystem7__cxx1128recursive_directory_iteratorD1Ev
  0.00    0.001336         267         5 _ZNSt10filesystem7__cxx1128recursive_directory_iteratorC1ERKNS0_4pathENS_17directory_optionsEPSt10error_code
  0.00    0.000392          78         5 _ZNSt12__shared_ptrINSt10filesystem7__cxx1128recursive_directory_iterator10_Dir_stackELN9__gnu_cxx12_Lock_policyE2EEC1EOS6_
  0.00    0.000388          77         5 _ZNSt12__shared_ptrINSt10filesystem7__cxx1128recursive_directory_iterator10_Dir_stackELN9__gnu_cxx12_Lock_policyE2EEC1Ev
  0.00    0.000372          74         5 __errno_location
  0.00    0.000255          85         3 strlen
  0.00    0.000207         103         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_M_local_dataEv
  0.00    0.000182          91         2 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE7_M_dataEv
  0.00    0.000178         178         1 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE5c_strEv
  0.00    0.000172          86         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12_Alloc_hiderC1EPcRKS3_
  0.00    0.000169          84         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_S_copy_charsEPcPKcS7_
  0.00    0.000160          80         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_M_set_lengthEm
------ ----------- ----------- --------- --------------------
100.00  427.984579               5509053 total
